,fp32,top1,imsize
pit_s_distilled_224,16.380975246429443,87.277,224.0
resnetrs101,39.43504810333252,87.24700000000001,288.0
mixer_b16_224_miil,5.967974662780762,87.226,224.0
convit_base,12.051944732666016,87.2,224.0
tf_efficientnet_b3_ap,25.10059118270874,87.19200000000001,300.0
visformer_small,15.008840560913086,87.181,224.0
convit_small,8.650243282318115,87.053,224.0
tf_efficientnetv2_b3,26.755173206329346,87.03200000000001,300.0
deit_small_distilled_patch16_224,6.368427276611328,86.993,224.0
resmlp_36_distilled_224,10.460522174835205,86.993,224.0
tnt_s_patch16_224,14.255411624908447,86.90299999999999,224.0
vit_small_patch16_224,6.382865905761719,86.869,224.0
vit_small_r26_s32_224,14.236021041870117,86.863,224.0
ssl_resnext101_32x16d,118.77163887023926,86.85600000000001,224.0
rexnet_200,15.597269535064697,86.846,224.0
tf_efficientnet_b3,24.86647129058838,86.835,300.0
deit_base_patch16_224,8.074183464050293,86.829,224.0
ssl_resnext101_32x8d,62.92789936065674,86.807,224.0
swsl_resnet50,13.253288269042969,86.807,224.0
tf_efficientnet_lite4,17.07280397415161,86.803,380.0
coat_mini,36.04537487030029,86.79299999999999,224.0
twins_svt_small,13.34057092666626,86.756,224.0
levit_256,9.783623218536377,86.728,224.0
seresnext50_32x4d,30.111424922943115,86.699,224.0
pit_b_224,22.816636562347412,86.686,224.0
tf_efficientnet_b1_ns,22.025365829467773,86.669,240.0
swin_tiny_patch4_window7_224,8.557002544403076,86.664,224.0
gernet_l,12.576262950897217,86.654,256.0
wide_resnet50_2,16.69198513031006,86.647,224.0
efficientnet_el,14.113028049468994,86.635,300.0
resmlp_24_distilled_224,7.340612411499023,86.62200000000001,224.0
twins_pcpvt_small,13.705272674560547,86.62,224.0
nf_resnet50,16.528451442718506,86.609,288.0
resnest50d_4s2x40d,24.056780338287354,86.59200000000001,224.0
efficientnet_b3_pruned,24.966726303100586,86.581,300.0
repvgg_b3,28.252103328704834,86.566,224.0
ssl_resnext101_32x4d,45.07107496261597,86.479,224.0
ecaresnet50d,16.41528844833374,86.47,224.0
gluon_resnet152_v1s,36.24826669692993,86.46799999999999,224.0
resnest50d_1s4x24d,22.795162200927734,86.447,224.0
resnetv2_50x1_bitm,23.91517400741577,86.436,448.0
repvgg_b3g4,27.49490261077881,86.361,224.0
legacy_senet154,118.89943361282349,86.34200000000001,224.0
cait_xxs36_224,25.418710708618164,86.34,224.0
gernet_m,10.411837100982666,86.319,224.0
pit_s_224,16.34552240371704,86.316,224.0
vit_small_patch32_384,7.977423667907715,86.31200000000001,384.0
efficientnet_b2,21.932315826416016,86.304,288.0
gluon_senet154,119.28701639175415,86.27799999999999,224.0
resnest50d,22.430155277252197,86.24,224.0
ecaresnet101d_pruned,30.854415893554688,86.21,224.0
efficientnet_el_pruned,14.494609832763672,86.19200000000001,300.0
cspdarknet53,17.536776065826416,86.182,256.0
inception_v4,35.37125825881958,86.169,299.0
rexnet_150,15.330533981323242,86.154,224.0
inception_resnet_v2,57.305214405059814,86.133,299.0
ssl_resnext50_32x4d,23.490662574768066,86.086,224.0
tf_efficientnet_el,14.638526439666748,86.084,300.0
gluon_resnet101_v1s,24.847488403320312,86.054,224.0
ecaresnetlight,16.167688369750977,86.052,224.0
gluon_seresnext101_32x4d,58.75911235809326,86.03200000000001,224.0
resnet50d,13.711214065551758,86.009,224.0
ecaresnet26t,9.866526126861572,85.98299999999999,320.0
tf_efficientnet_b2_ap,22.07948923110962,85.975,260.0
gluon_seresnext101_64x4d,80.4191780090332,85.96,224.0
vit_base_patch32_224,6.389458179473877,85.956,224.0
gluon_resnet152_v1d,36.32312059402466,85.917,224.0
vit_large_patch32_384,20.15129327774048,85.90899999999999,384.0
tf_efficientnet_b2,21.905653476715088,85.902,260.0
tf_efficientnetv2_b2,22.837042808532715,85.9,260.0
seresnet50,19.616737365722656,85.85700000000001,224.0
repvgg_b2g4,23.08713436126709,85.855,224.0
gluon_resnet101_v1d,25.16246795654297,85.84899999999999,224.0
resnet50,13.282124996185303,85.804,224.0
mixnet_xl,30.40233612060547,85.79799999999999,224.0
ens_adv_inception_resnet_v2,57.010860443115234,85.781,299.0
tf_efficientnet_lite3,13.321521282196045,85.755,300.0
ese_vovnet39b,14.513218402862549,85.751,224.0
gluon_resnext101_32x4d,45.24773359298706,85.74600000000001,224.0
legacy_seresnext101_32x4d,58.8041090965271,85.74600000000001,224.0
cspresnext50,24.183776378631592,85.74,224.0
regnety_320,60.277042388916016,85.727,224.0
cspresnet50,14.007270336151123,85.721,256.0
xception71,23.552582263946533,85.697,299.0
resmlp_big_24_224,36.26847505569458,85.695,224.0
gluon_resnext101_64x4d,72.80056715011597,85.693,224.0
efficientnet_em,12.492294311523438,85.684,240.0
deit_small_patch16_224,6.665711402893066,85.678,224.0
pit_xs_distilled_224,13.45930814743042,85.65700000000001,224.0
efficientnet_b2_pruned,21.822547912597656,85.64200000000001,260.0
dpn107,68.79962921142578,85.64,224.0
resmlp_36_224,10.581929683685303,85.62,224.0
levit_192,9.580020904541016,85.58,224.0
gluon_resnet152_v1c,36.30887985229492,85.58,224.0
ecaresnet50d_pruned,16.514463424682617,85.58,224.0
resnext50d_32x4d,23.969454765319824,85.569,224.0
tf_efficientnetv2_b1,21.87920331954956,85.561,240.0
regnety_120,34.869704246520996,85.54299999999999,224.0
regnetx_320,58.58788251876831,85.524,224.0
nf_regnet_b1,46.61731481552124,85.505,288.0
dpn92,43.35390567779541,85.494,224.0
gluon_resnet152_v1b,35.709426403045654,85.475,224.0
rexnet_130,15.473835468292236,85.473,224.0
resnetrs50,20.467588901519775,85.462,224.0
dpn131,68.6958646774292,85.398,224.0
regnetx_160,37.68540143966675,85.39,224.0
dla102x2,62.18226909637451,85.366,224.0
gluon_seresnext50_32x4d,30.013272762298584,85.336,224.0
xception65,19.800798892974854,85.315,299.0
skresnext50_32x4d,35.61493158340454,85.31299999999999,224.0
dpn98,52.345054149627686,85.311,224.0
gluon_resnet101_v1c,24.925501346588135,85.304,224.0
dpn68b,35.77160835266113,85.291,224.0
regnety_064,34.27822828292847,85.28299999999999,224.0
resnetblur50,13.456873893737793,85.28299999999999,224.0
resmlp_24_224,7.339167594909668,85.26799999999999,224.0
coat_lite_mini,11.493215560913086,85.251,224.0
regnety_080,30.399339199066162,85.245,224.0
cait_xxs24_224,17.500200271606445,85.228,224.0
resnext50_32x4d,23.546035289764404,85.221,224.0
resnext101_32x8d,63.384528160095215,85.18700000000001,224.0
gluon_inception_v3,22.422194480895996,85.18299999999999,299.0
hrnet_w48,78.23988437652588,85.15100000000001,224.0
gluon_xception65,19.773759841918945,85.148,299.0
gluon_resnet101_v1b,24.857568740844727,85.14200000000001,224.0
regnetx_120,31.976091861724854,85.131,224.0
xception,11.336536407470703,85.12899999999999,299.0
tf_efficientnet_b1_ap,21.77605628967285,85.12700000000001,240.0
hrnet_w64,78.03293704986572,85.119,224.0
ssl_resnet50,13.15248966217041,85.09700000000001,224.0
res2net101_26w_4s,42.26217985153198,85.09299999999999,224.0
tf_efficientnet_cc_b1_8e,24.27849054336548,85.06299999999999,240.0
res2net50_26w_8s,37.63259172439575,85.029,224.0
resnest26d,12.774097919464111,85.008,224.0
gluon_resnext50_32x4d,23.45468759536743,84.995,224.0
tf_efficientnet_b0_ns,15.619382858276367,84.984,224.0
coat_tiny,35.55366277694702,84.976,224.0
regnety_040,29.794514179229736,84.948,224.0
dla169,39.723639488220215,84.92,224.0
tf_efficientnet_b1,21.92162036895752,84.91799999999999,240.0
legacy_seresnext50_32x4d,29.979007244110107,84.90100000000001,224.0
hrnet_w44,78.14115762710571,84.884,224.0
gluon_resnet50_v1s,13.584201335906982,84.86200000000001,224.0
regnetx_080,28.918519020080566,84.86200000000001,224.0
levit_128,9.593560695648193,84.84299999999999,224.0
gluon_resnet50_v1d,13.726880550384521,84.83200000000001,224.0
dla60_res2next,30.87926149368286,84.83,224.0
vit_tiny_patch16_384,7.711431980133057,84.82799999999999,384.0
mixnet_l,25.013890266418457,84.822,224.0
tv_resnet152,35.722551345825195,84.815,224.0
dla60_res2net,24.49625015258789,84.81299999999999,224.0
dla102x,42.59997367858887,84.81299999999999,224.0
pit_xs_224,13.426010608673096,84.792,224.0
xception41,13.454711437225342,84.792,299.0
regnetx_064,23.596620559692383,84.781,224.0
hrnet_w40,78.1423830986023,84.743,224.0
res2net50_26w_6s,29.89434003829956,84.726,224.0
repvgg_b2,23.297388553619385,84.72399999999999,224.0
resmlp_12_distilled_224,4.392945766448975,84.713,224.0
legacy_seresnet152,56.50923490524292,84.704,224.0
selecsls60b,15.830533504486084,84.65700000000001,224.0
hrnet_w32,78.29899787902832,84.65100000000001,224.0
tf_efficientnetv2_b0,17.900583744049072,84.625,224.0
efficientnet_b1,21.907551288604736,84.60799999999999,256.0
regnetx_040,24.754343032836914,84.6,224.0
efficientnet_es,9.546875953674316,84.59100000000001,224.0
hrnet_w30,78.08218955993652,84.572,224.0
tf_mixnet_l,24.884541034698486,84.564,224.0
wide_resnet101_2,31.614665985107422,84.557,224.0
dla60x,25.543386936187744,84.523,224.0
legacy_seresnet101,37.91924476623535,84.50399999999999,224.0
tf_efficientnet_em,12.597429752349854,84.45,240.0
coat_lite_tiny,11.528496742248535,84.45,224.0
repvgg_b1,17.975382804870605,84.416,224.0
efficientnet_b1_pruned,21.74143075942993,84.39299999999999,240.0
res2net50_26w_4s,21.786844730377197,84.365,224.0
hardcorenas_f,16.0121488571167,84.32600000000001,224.0
res2net50_14w_8s,37.401931285858154,84.309,224.0
selecsls60,15.870141983032227,84.288,224.0
regnetx_032,23.303406238555908,84.23700000000001,224.0
res2next50,28.005220890045166,84.226,224.0
gluon_resnet50_v1c,13.912467956542969,84.20700000000001,224.0
dla102,25.287036895751953,84.19,224.0
rexnet_100,15.513498783111572,84.162,224.0
tf_inception_v3,22.589099407196045,84.132,299.0
res2net50_48w_2s,13.783876895904541,84.126,224.0
resnet34d,12.148823738098145,84.098,224.0
tf_efficientnet_lite2,11.678578853607178,84.094,260.0
efficientnet_b0,15.488321781158447,84.038,224.0
gmixer_24_224,10.4020357131958,83.96799999999999,224.0
hardcorenas_e,16.024208068847656,83.96799999999999,224.0
tf_efficientnet_cc_b0_8e,17.45192289352417,83.96600000000001,224.0
tv_resnext50_32x4d,23.615386486053467,83.959,224.0
regnety_016,37.89597749710083,83.955,224.0
gluon_resnet50_v1b,13.205344676971436,83.94,224.0
densenet161,39.54745054244995,83.906,224.0
